,wifes_edu,husbands_edu,n_children,wifes_rel,wifes_working,husbands_occ,sol,media,Y
1413,3,3,3,1,1,3,3,0,1
1414,4,3,2,1,0,2,3,0,1
1416,4,3,2,1,1,3,2,0,1
1424,2,4,2,1,1,3,2,0,1
1426,3,4,3,1,1,3,1,0,1
1427,4,4,4,1,0,3,4,0,1
1429,4,3,4,1,1,3,3,0,1
1431,4,4,2,0,0,2,4,0,1
1432,4,4,1,0,0,2,4,0,1
1434,4,4,1,1,1,1,3,0,1
1436,2,3,5,1,0,3,4,0,1
1437,4,4,1,1,1,1,4,0,1
1440,4,4,1,0,0,2,4,0,1
1441,3,3,1,0,0,2,4,0,1
1443,2,2,0,0,1,4,4,0,1
1444,4,4,2,1,1,3,4,0,1
1449,4,4,1,1,1,2,3,0,1
1450,4,4,4,1,1,3,3,0,1
1452,3,2,4,1,1,3,4,0,1
1453,1,3,5,1,1,3,4,0,1
1454,3,4,5,1,1,1,4,0,1
1457,3,3,5,1,1,2,4,0,1
1458,2,2,3,1,1,2,2,1,1
1460,4,3,1,1,1,2,2,0,1
1461,4,4,4,1,1,1,2,1,1
1462,4,4,1,0,1,2,4,0,1
1463,1,3,2,1,1,3,4,0,1
1464,2,2,1,1,1,2,4,0,1
1465,2,4,3,1,1,1,3,0,1
1467,4,4,3,1,1,1,4,0,1
1472,3,3,1,1,1,2,4,0,1
